Abdicate,(verb) to cast off or relinquish
Aberration,(noun) a state or condition markedly different from the norm
Abject,(adj.) sunk to a low condition or in miserable circumstances
Abolish,(verb) do away with
Abridge,(verb) lessen, diminish, or curtail; reduce in scope while retaining essential elements
Abstemious,(adj.) sparing in consumption of especially food and drink; marked by temperance
Accent,(verb) put stress on; utter with an accent; to stress, single out as important
Accolade,(noun) a tangible symbol signifying approval or distinction
Acquiesce,(verb) to agree or express agreement; rest satisfied
Acrimonious,(adj.) caustic, biting or rancorous in language or expression
Acumen,(noun) shrewdness shown by keen insight
Affable,(adj.) friendly; outgoing disposition
Affirmation,(noun) a statement asserting the existence or the truth of something
Alacrity,(noun) liveliness and eagerness; youthful energy
Alleviate,(verb) provide physical relief, as from pain; make easier
Aloof,(adj.) remote in manner; distant
Amass,(verb) to collect or gather; get or gather together
Ambiguous,(adj.) having more than one possible meaning; often misleading
Ambivalence,(noun) mixed feelings or emotions
Ambulatory,(noun) a covered walkway; (adj.) relating to or adapted for walking; able to walk about
Ameliorate,(verb) get better; to make better
Amity,(noun) a cordial disposition; a state of friendship and cordiality
Anchor,(noun) a central cohesive source of support and stability; verb fix firmly and stably
Antagonize,(verb) to provoke the hostility of; act in opposition to
Antediluvian,(adj.) so extremely old as seeming to belong to an earlier period; of or relating to the period before the biblical flood; (noun) a very old person
Apathy,(noun) the trait of lacking enthusiasm for or interest in things generally; an absence of enthusiasm
Apocryphal,(adj.) doubtful authenticity
Arcane,(adj.) requiring secret or mysterious knowledge
Ascendancy,(noun) the state that exists when one person or group has power over another
Atrophy,(noun) any weakening or degeneration
Augment,(verb) to enlarge or increase; grow or intensify
Avuncular,(adj.) like an uncle in kindness or indulgence; being or relating to an uncle
Bane,(noun) something causes misery or death
Belie,(verb) represent falsely; be in contradiction with
Belittle,(verb) lessen the authority, dignity, or reputation of; express a negative opinion of; cause to seem less serious
Bellicose,(adj.) having or showing a ready disposition to fight
Belligerence,(noun) hostile or warlike attitude or nature; a natural disposition to be hostile
Benign,(adj.) pleasant and beneficial in nature or influence; kindness of disposition or manner; not dangerous to health
Bizarre,(adj.) conspicuously or grossly unconventional or unusual
Blatant,(adj.) noisy in a vulgar or offensive manner
Blunder,(noun) an embarrassing mistake; (verb) to utter impulsively; make one's way clumsily or blindly
Brevity,(noun) the attribute of being brief or fleeting; the use of brief expressions
Bucolic,(adj.) relating to shepherds or herdsmen or devoted to raising sheep or cattle; (noun) a short descriptive poem of rural or pastoral life; a country person; (adj.) used of idealized country life
Bungle,(verb) to spoil by behaving clumsily or foolishly; (noun) an embarrassing mistake; verb make a mess of, destroy or ruin
Burgeon,(verb) to grow and flourish
Cajole,(verb) to deceive or persuade with false pretenses
Callous,(verb) make insensitive or callous; deaden feelings or morals; (adj.) emotionally hardened
Candid,(adj.) openly straightforward and direct without reserve or secretiveness; informal or natural
Cantankerous,(adj.) having a difficult and contrary disposition; stubbornly obstructive and unwilling to cooperate
Capitulate,(verb) to surrender under agreed conditions
Capricious,(adj.) determined by chance or impulse or whim rather than by necessity or reason; changeable
Censure,(noun) harsh criticism or disapproval; the state of being excommunicated; (verb) rebuke formally
Chagrin,(noun) strong feelings of embarrassment; (verb) cause to feel shame; hurt the pride of
Charlatan,(noun) a quack or one showing false pretenses
Chicanery,(noun) the use of tricks to deceive someone
Churlish,(adj.) having a bad disposition; surly; rude and boorish
Clairvoyant,(noun) someone who has the power of clairvoyance; (adj.) foreseeing the future
Clemency,(noun) leniency and compassion shown toward offenders of rule or law
Coalesce,(verb) to fuse or cause to grow together; mix together different elements
Cohere,(verb) cause to form a united, orderly, and aesthetically consistent whole; come in close contact
Complacent,(adj.) contented to a fault with oneself or one's actions
Compress,(verb) to squeeze or press together; make more compact by or as if by pressing
Confide,(verb) reveal in private; tell confidentially; confer a trust upon
Confound,(verb) to mistake one thing for another; be confusing or perplexing to
Congeal,(verb) to change from a liquid to solid state
Congenial,(adj.) used of plants; suitable to your needs or similar to your nature
Contaminant,(noun) a substance that violates the purity of an item
Converge,(verb) to come together so as to form a single product; move or draw together at a certain location
Convivial,(adj.) occupied with or fond of the pleasures of good company
Copious,(adj.) large in number or quantity; affording an abundant supply
Corroborate,(verb) to support with evidence or authority or make more certain or confirm; establish or strengthen as with new evidence or facts
Corrugated,(adj.) shaped into alternating parallel grooves and ridges
Corrupt,(verb) to alter from the original; (adj.) lacking in integrity
Cowardice,(noun) a lack of courage
Credence,(noun) the attitude that something is believable and should be accepted as true
Cryptic,(adj.) having a puzzling terseness; of an obscure nature; having a secret or hidden meaning
Cupidity,(noun) greed and strong desire for wealth
Cursory,(adj.) hasty and without attention to detail; not thorough
Daunt,(verb) cause to lose courage
Dauntless,(adj.) invulnerable to fear or intimidation
Debilitate,(verb) make weak
Decorous,(adj.) dignified in conduct, manners or disposition
Delusion,(noun) deception by creating illusory ideas; a mistaken or unfounded opinion or idea;
Deplete,(verb) use or exhaust resources
Derelict,(adj.) abandoned duty or neglected by owner or occupant
Deviate,(verb) to stray from the norm or standard
Dictum,(noun) an authoritative declaration; an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding
Didactic,(adj.) designed or intended to teach; making moral observations
Discrepancy,(noun) a difference between conflicting facts or claims or opinions; an event that departs from expectations
Disdain,(noun) lack of respect accompanied by a feeling of intense dislike; (verb) reject with contempt
Disentangle,(verb) to smoothen and neaten; free from involvement
Disingenuous,(adj.) not straightforward or candid; giving a false appearance of frankness
Distend,(verb) to swell from or as if from internal pressure; cause to expand as it by internal pressure
Docile,(adj.) easily handled or managed; ready and willing to be taught
Drawback,(noun) the quality of being a hindrance
Dubious,(adj.) not convinced; fraught with uncertainty or doubt; open to doubt or suspicion
Edict,(noun) a proclamation having the force of law
Efface,(verb) to make inconspicuous; remove completely from recognition or memory
Effervescent,(adj.) marked by high spirits or excitement; bubbly and engaging
Eloquent,(adj.) marked for forceful or fluent expression; well-spoken
Enhance,(verb) to increase; make better or more attractive
Enigmatic,(adj.) resembling an oracle in obscurity of thought; not clear or understandable
Entourage,(noun) the group following and attending to some important person
Ephemeral,(adj.) lasting a very short time; noun anything short-lived
Epitome,(noun) a brief abstract in a book or journal; a standard or typical example
Equilibrium,(noun) a stable, balanced system
Equivocate,(verb) be deliberately ambiguous or unclear in order to mislead or withhold information
Erudite,(adj.) well read or esteemed for knowledge
Eschew,(verb) to avoid or shun
Eulogy,(noun) praise; a speech full of praise at a funeral
Euphonious,(adj.) having a pleasant sound; pleasing in sound; not harsh or strident
Evacuate,(verb) excrete or discharge from the body; empty completely;
Evanescent,(adj.) tending to vanish like vapor
Exacerbate,(verb) exasperate or irritate; make worse
Exclude,(verb) to prevent from being included or considered or accepted; prevent from entering
Exculpate,(verb) to clear from fault or guilt
Expedite,(verb) process fast and efficiently; speed up the progress of; facilitate
Expendable,(adj.) able to be spent or done away with;
Extol,(verb) praise, glorify, or honor
Facilitate,(verb) make easier; increase the likelihood of (a response); be of use
Fallow,(noun) cultivated land that is not seeded for one or more growing seasons; adj. undeveloped but potentially useful; left unplowed and unseeded during a growing season
Famished,(adj.) extremely hungry
Fastidious,(adj.) giving careful attention to detail; hard to please; excessively concerned with cleanliness; having complicated nutritional requirements; especially growing only in special artificial cultures
Fathom,(noun) understanding or comprehension; also a unit of length equal to 6 cubic feet
Fertile,(adj.) capable of reproducing; marked by great fruitfulness; bearing in abundance especially offspring; intellectually productive
Fidelity,(noun) the quality of being faithful
Flourish,(verb) to grow stronger; move or swing back and forth; gain in wealth
Foible,(noun) a behavioral attribute that is distinctive and peculiar to an individual
Foster,(verb) help develop, help grow
Fraudulent,(adj.) intended to deceive
Frivolous,(adj.) of little importance or lacking seriousness
Frugal,(adj.) avoiding waste; spendthrift
Fruitful,(adj.) productive or conducive to producing in abundance; productive of profit
Fruitless,(adj.) unproductive of success
Furtive,(adj.) marked by quiet and caution and secrecy; taking pains to avoid being observed; secret and sly or sordid
Futile,(adj.) producing no result or effect; unproductive of success
Garner,(verb) store grain; noun a storehouse for threshed grain or animal feed; verb assemble or get together; acquire or deserve by one's efforts or actions
Gaudy,(adj.) marked by conspicuous display; tastelessly showy
Generic,(noun) any product that can be sold without a brand name; adj. applicable to an entire class or group
Genre,(noun) a class of art having a characteristic form or technique; a kind of literary or artistic work
Germane,(adj.) relevant or appropriate
Glean,(verb) gather, as of natural products; to pick over in search of relevant materials
Glib,(adj.) artfully persuasive in speech; having only superficial plausibility; marked by lack of intellectual depth
Gluttony,(noun) eating to excess; habitual eating to excess
Grandiose,(adj.) impressive because of unnecessary largeness or grandeur; used to show disapproval
Gratuitous,(adj.) without cause; unnecessary and unwarranted; costing nothing
Gregarious,(adj.) enjoying of other peoples' company or discourse
Grotto,(noun) a small cave
Guile,(noun) the use of tricks to deceive someone; the quality of being deceitful
Gullible,(adj.) easily tricked because of being too trusting; naive and easily deceived or tricked
Gusto,(noun) vigorous and enthusiastic enjoyment
Hackneyed,(adj.) repeated too often; over familiar through overuse
Harbinger,(noun) an indication of the approach of something or someone; verb foreshadow or presage
Haughty,(adj.) blatantly and disdainfully proud
Hefty,(adj.) of considerable weight and size; large in amount or extent or degree; rugged and powerful
Hiatus,(noun) a missing piece; an interruption in time
Hideous,(adj.) so extremely ugly as to be terrifying; grossly offensive to decency or morality; causing horror
Hilarity,(noun) great merriment or enjoyment
Hinder,(verb) put at a disadvantage
Hone,(verb) make perfect or complete
Humane,(adj.) marked or motivated by concern with the alleviation of suffering;
Husbandry,(noun) the practice of cultivating the land or raising stock
Hybrid,(noun) mixed offspring; produced by cross-breeding; mixture of words
Hyperbole,(noun) extravagant exaggeration
Hypocritical,(adj.) professing feelings or virtues one does not have
Iconoclast,(noun) someone who attacks cherished ideas or traditional institutions; a destroyer of images used in religious worship
Idiosyncratic,(adj.) peculiar to the individual
Imperial,(adj.) belonging to or befitting a supreme ruler; befitting or belonging to an emperor or empress;
Impudent,(adj.) marked by casual disrespect; improperly forward or bold
Inchoate,(adj.) only partly in existence; imperfectly formed
Incite,(verb) to provoke
Inconspicuous,(adj.) not prominent or readily noticeable
Incorrigible,(adj.) impervious to correction by punishment
Indignant,(adj.) angered at something unjust or wrong
Indolent,(adj.) slow to heal or develop and usually painless; disinclined to work or exertion; lazy
